District,YEAR,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,highheat_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,highheat_days_lag1,temp_range_stddev_lag1
Arghakhanchi,1982,22.307260273972602,28.49421917808219,3.0335746996534043,1002.7,50.56334246575342,2.5689041095890413,14,-0.24941312424609613,21.94627397260274,1487.8,0.9192337116347722,17.0,3.6057896402453147
Arghakhanchi,1983,22.7687397260274,29.166876712328765,3.2709421078749448,731.61,45.04030136986301,2.718246575342466,26,-0.9024918105766355,22.307260273972602,1002.7,-0.24941312424609613,14.0,3.0335746996534043
Arghakhanchi,1984,22.508360655737704,28.945655737704918,3.6764763505514826,1002.52,46.84546448087431,2.694535519125683,28,-0.24984675943566245,22.7687397260274,731.61,-0.9024918105766355,26.0,3.2709421078749448
Arghakhanchi,1985,22.736465753424657,28.995561643835615,4.03884124061748,904.93,48.872465753424656,2.721178082191781,39,-0.48494930471212916,22.508360655737704,1002.52,-0.24984675943566245,28.0,3.6764763505514826
Arghakhanchi,1986,22.60334246575342,29.134136986301368,3.358741331410654,708.4,44.313315068493154,2.6913150684931506,18,-0.9584066591868088,22.736465753424657,904.93,-0.48494930471212916,39.0,4.03884124061748
Arghakhanchi,1987,23.017671232876715,29.441178082191783,3.3455099072061043,895.9300000000001,45.02879452054794,2.520630136986301,40,-0.5066310641904381,22.60334246575342,708.4,-0.9584066591868088,18.0,3.358741331410654
Arghakhanchi,1988,23.016639344262295,29.22939890710382,3.797012033890322,1176.04,48.936502732240434,2.514890710382514,26,0.1681775633061398,23.017671232876715,895.9300000000001,-0.5066310641904381,40.0,3.3455099072061043
Arghakhanchi,1989,22.60964383561644,29.252301369863012,3.6951878551246287,843.23,44.26446575342466,2.833095890410959,27,-0.6335898113578713,23.016639344262295,1176.04,0.1681775633061398,26.0,3.797012033890322
Arghakhanchi,1990,22.78972602739726,28.818520547945205,3.7474463053566143,1163.2,49.24660273972602,2.5772602739726027,30,0.13724491978375214,22.60964383561644,843.23,-0.6335898113578713,27.0,3.6951878551246287
Arghakhanchi,1991,23.265123287671233,29.828657534246577,3.4215665090986436,688.26,43.054273972602736,2.739095890410959,41,-1.0069256187304918,22.78972602739726,1163.2,0.13724491978375214,30.0,3.7474463053566143
Arghakhanchi,1992,22.91806010928962,29.47792349726776,3.30426909268057,756.32,43.53950819672131,2.8937431693989066,29,-0.8429633353867442,23.265123287671233,688.26,-1.0069256187304918,41.0,3.4215665090986436
Arghakhanchi,1993,22.92186301369863,29.56219178082192,3.303043917263858,688.36,42.008657534246574,2.66786301369863,21,-1.006684710291844,22.91806010928962,756.32,-0.8429633353867442,29.0,3.30426909268057
Arghakhanchi,1994,23.380109589041094,30.064821917808217,3.267461918174848,684.76,41.77090410958904,2.724219178082192,26,-1.0153574140831676,22.92186301369863,688.36,-1.006684710291844,21.0,3.303043917263858
Arghakhanchi,1995,23.155972602739727,29.60613698630137,3.4342235207870617,751.17,43.94676712328767,2.7929863013698633,44,-0.8553701199771103,23.380109589041094,684.76,-1.0153574140831676,26.0,3.267461918174848
Arghakhanchi,1996,22.893251366120218,29.318825136612023,3.6304363427521142,774.74,45.83469945355191,2.666393442622951,26,-0.7985880009878047,23.155972602739727,751.17,-0.8553701199771103,44.0,3.4342235207870617
Arghakhanchi,1997,22.86704109589041,29.526575342465755,2.947030917186878,431.51,40.974219178082194,2.753315068493151,24,-1.6254580349589252,22.893251366120218,774.74,-0.7985880009878047,26.0,3.6304363427521142
Arghakhanchi,1998,22.96641095890411,29.136958904109587,3.4330766432745166,911.07,48.761945205479456,2.6234794520547946,34,-0.47015752657914905,22.86704109589041,431.51,-1.6254580349589252,24.0,2.947030917186878
Arghakhanchi,1999,23.66213698630137,30.508712328767125,3.482872363747002,507.85,40.826986301369864,2.731917808219178,28,-1.441548532895133,22.96641095890411,911.07,-0.47015752657914905,34.0,3.4330766432745166
Arghakhanchi,2000,22.73330601092896,29.062431693989073,3.4955221389056605,903.58,45.42713114754099,2.612568306010929,17,-0.4882015686338753,23.66213698630137,507.85,-1.441548532895133,28.0,3.482872363747002
Arghakhanchi,2001,23.02490410958904,29.38372602739726,3.2478585130774156,785.85,45.66441095890411,2.4754246575342465,8,-0.7718230734540251,22.73330601092896,903.58,-0.4882015686338753,17.0,3.4955221389056605
Arghakhanchi,2002,23.74731506849315,30.414931506849317,2.4876137448586793,445.24,41.35405479452054,2.6563013698630136,25,-1.5923813063325711,23.02490410958904,785.85,-0.7718230734540251,8.0,3.2478585130774156
Arghakhanchi,2003,23.073863013698627,29.5107397260274,3.131981602210632,588.27,45.0681095890411,2.598109589041096,25,-1.2478099665345077,23.74731506849315,445.24,-1.5923813063325711,25.0,2.4876137448586793
Arghakhanchi,2004,22.502131147540986,28.398469945355192,3.507436228553919,1213.06,52.23426229508197,2.5192896174863386,16,0.2573618672935851,23.073863013698627,588.27,-1.2478099665345077,25.0,3.131981602210632
Arghakhanchi,2005,22.544301369863014,28.341726027397257,3.5927481458907335,1361.3,53.08764383561644,2.495917808219178,26,0.6144845367452033,22.502131147540986,1213.06,0.2573618672935851,16.0,3.507436228553919
Arghakhanchi,2006,22.40794520547945,28.210301369863014,3.2924698280879507,1302.37,55.45279452054795,2.3704657534246576,3,0.4725171938500071,22.544301369863014,1361.3,0.6144845367452033,26.0,3.5927481458907335
